Neural Network is started!
Basic information can be given by...
Input Layer Node: 2 Hidden Layer Node :6 Output Layer Node: 1
Training neural network is started in five seconds
Error: 0.00042022 Iteration: 1380 Jacobian Check: 2.666818680697976e+38 Mu: 0.00021396
Error: 0.00041286 Iteration: 1390 Jacobian Check: 8.436137831144859e+38 Mu: 0.0001935
Error: 0.0004057 Iteration: 1400 Jacobian Check: 2.655621962136444e+39 Mu: 0.000175
Error: 0.00039877 Iteration: 1410 Jacobian Check: 8.31336297792214e+39 Mu: 0.00015827
Error: 0.00039206 Iteration: 1420 Jacobian Check: 2.585746908247319e+40 Mu: 0.00014313
Error: 0.00038557 Iteration: 1430 Jacobian Check: 7.982463079606162e+40 Mu: 0.00012945
Error: 0.00037932 Iteration: 1440 Jacobian Check: 2.443133282689817e+41 Mu: 0.00011707
Error: 0.00037332 Iteration: 1450 Jacobian Check: 7.405593362107826e+41 Mu: 0.00010588
Error: 0.00036756 Iteration: 1460 Jacobian Check: 2.22127612394676e+42 Mu: 9.5752e-05
Error: 0.00036205 Iteration: 1470 Jacobian Check: 6.589511191326201e+42 Mu: 8.6596e-05
Error: 0.00035678 Iteration: 1480 Jacobian Check: 1.933341608830559e+43 Mu: 7.8316e-05
Error: 0.00035174 Iteration: 1490 Jacobian Check: 5.613658206690357e+43 Mu: 7.0827e-05
Error: 0.00034691 Iteration: 1500 Jacobian Check: 1.615344187532939e+44 Mu: 6.4055e-05
Error: 0.00034228 Iteration: 1510 Jacobian Check: 4.616328191808731e+44 Mu: 5.793e-05
Error: 0.00033782 Iteration: 1520 Jacobian Check: 1.313914246641549e+45 Mu: 5.2391e-05
Error: 0.00033351 Iteration: 1530 Jacobian Check: 3.73696800900193e+45 Mu: 4.7382e-05
Error: 0.00032932 Iteration: 1540 Jacobian Check: 1.065896188847016e+46 Mu: 4.2851e-05
Error: 0.00032525 Iteration: 1550 Jacobian Check: 3.060358352480445e+46 Mu: 3.8754e-05
Error: 0.00032127 Iteration: 1560 Jacobian Check: 8.881351500213147e+46 Mu: 3.5048e-05
Error: 0.0003174 Iteration: 1570 Jacobian Check: 2.620404008595725e+47 Mu: 3.1697e-05
Error: 0.00031362 Iteration: 1580 Jacobian Check: 7.948661930071684e+47 Mu: 2.8666e-05
Error: 0.00030994 Iteration: 1590 Jacobian Check: 2.52911925908634e+48 Mu: 2.5925e-05
Error: 0.00030637 Iteration: 1600 Jacobian Check: 8.059586574648523e+48 Mu: 2.3446e-05
Error: 0.00030314 Iteration: 1610 Jacobian Check: 1.622616147984719e+49 Mu: 2.1204e-05
Error: 0.00030056 Iteration: 1620 Jacobian Check: 2.287668148434509e+49 Mu: 1.9177e-05
Error: 0.00029839 Iteration: 1630 Jacobian Check: 3.367755574899377e+49 Mu: 1.7343e-05
Error: 0.00029626 Iteration: 1640 Jacobian Check: 5.631972025725914e+49 Mu: 1.5685e-05
Error: 0.00029396 Iteration: 1650 Jacobian Check: 1.065198075914801e+50 Mu: 1.4185e-05
Error: 0.00029146 Iteration: 1660 Jacobian Check: 2.216270892155014e+50 Mu: 1.2829e-05
Error: 0.00028883 Iteration: 1670 Jacobian Check: 4.929818058620639e+50 Mu: 1.1602e-05
Error: 0.00028613 Iteration: 1680 Jacobian Check: 1.146057830075462e+51 Mu: 1.0493e-05
Error: 0.00028344 Iteration: 1690 Jacobian Check: 2.739817816081033e+51 Mu: 9.4894e-06
Error: 0.00028079 Iteration: 1700 Jacobian Check: 6.652461785083317e+51 Mu: 8.5821e-06
Error: 0.0002782 Iteration: 1710 Jacobian Check: 1.624533517060349e+52 Mu: 7.7615e-06
Error: 0.0002757 Iteration: 1720 Jacobian Check: 4.078484856094323e+52 Mu: 7.0193e-06
Error: 0.00027321 Iteration: 1730 Jacobian Check: 1.119685098397611e+53 Mu: 6.3482e-06
Error: 0.00027104 Iteration: 1740 Jacobian Check: 1.105279303582164e+53 Mu: 5.7412e-06
Error: 0.00026976 Iteration: 1750 Jacobian Check: 7.141619972099805e+52 Mu: 5.1922e-06
Error: 0.00026883 Iteration: 1760 Jacobian Check: 5.686703561481279e+52 Mu: 4.6957e-06
Error: 0.00026739 Iteration: 1770 Jacobian Check: 6.305987853788921e+52 Mu: 4.2467e-06
Error: 0.00026518 Iteration: 1780 Jacobian Check: 8.878535338690891e+52 Mu: 3.8407e-06
Error: 0.0002623 Iteration: 1790 Jacobian Check: 1.418155298209537e+53 Mu: 3.4734e-06
Error: 0.00025884 Iteration: 1800 Jacobian Check: 2.212943013349278e+53 Mu: 3.1413e-06
Error: 0.00025583 Iteration: 1810 Jacobian Check: 2.311890990529786e+53 Mu: 2.841e-06
Error: 0.00025425 Iteration: 1820 Jacobian Check: 2.078834365401194e+53 Mu: 2.5693e-06
Error: 0.00025315 Iteration: 1830 Jacobian Check: 2.361462753815917e+53 Mu: 2.3236e-06
Error: 0.00025206 Iteration: 1840 Jacobian Check: 3.224855810080885e+53 Mu: 2.1015e-06
Error: 0.00025096 Iteration: 1850 Jacobian Check: 4.804005490503995e+53 Mu: 1.9005e-06
Error: 0.00024988 Iteration: 1860 Jacobian Check: 7.366848232450565e+53 Mu: 1.7188e-06
Error: 0.00024884 Iteration: 1870 Jacobian Check: 1.132355153429374e+54 Mu: 1.5544e-06
Error: 0.00024785 Iteration: 1880 Jacobian Check: 1.727802623730296e+54 Mu: 1.4058e-06
Error: 0.00024689 Iteration: 1890 Jacobian Check: 2.610663511277449e+54 Mu: 1.2714e-06
Error: 0.00024597 Iteration: 1900 Jacobian Check: 3.905783145330161e+54 Mu: 1.1498e-06
Error: 0.00024507 Iteration: 1910 Jacobian Check: 5.787898102707263e+54 Mu: 1.0399e-06
Error: 0.00024421 Iteration: 1920 Jacobian Check: 8.498176921714671e+54 Mu: 9.4045e-07
Error: 0.00024338 Iteration: 1930 Jacobian Check: 1.23657596581474e+55 Mu: 8.5053e-07
Error: 0.00024258 Iteration: 1940 Jacobian Check: 1.78354109164246e+55 Mu: 7.692e-07
Error: 0.0002418 Iteration: 1950 Jacobian Check: 2.550250410185324e+55 Mu: 6.9565e-07
Error: 0.00024106 Iteration: 1960 Jacobian Check: 3.615672932920443e+55 Mu: 6.2913e-07
Error: 0.00024034 Iteration: 1970 Jacobian Check: 5.08361026798207e+55 Mu: 5.6898e-07
Error: 0.00023965 Iteration: 1980 Jacobian Check: 7.089302299425828e+55 Mu: 5.1457e-07
Error: 0.00023899 Iteration: 1990 Jacobian Check: 9.807426506240521e+55 Mu: 4.6537e-07
Error: 0.00023835 Iteration: 2000 Jacobian Check: 1.346169087698246e+56 Mu: 4.2087e-07
Error: 0.00023774 Iteration: 2010 Jacobian Check: 1.833622839960539e+56 Mu: 3.8063e-07
Error: 0.00023716 Iteration: 2020 Jacobian Check: 2.47890061572698e+56 Mu: 3.4423e-07
Error: 0.0002366 Iteration: 2030 Jacobian Check: 3.326746513091883e+56 Mu: 3.1132e-07
Error: 0.00023607 Iteration: 2040 Jacobian Check: 4.432660908110548e+56 Mu: 2.8155e-07
Error: 0.00023555 Iteration: 2050 Jacobian Check: 5.86497654595446e+56 Mu: 2.5463e-07
Error: 0.00023506 Iteration: 2060 Jacobian Check: 7.707225140872839e+56 Mu: 2.3028e-07
Error: 0.00023459 Iteration: 2070 Jacobian Check: 1.00608200146555e+57 Mu: 2.0826e-07
Error: 0.00023415 Iteration: 2080 Jacobian Check: 1.30480844559811e+57 Mu: 1.8835e-07
Error: 0.00023372 Iteration: 2090 Jacobian Check: 1.681566250400424e+57 Mu: 1.7034e-07
Error: 0.00023331 Iteration: 2100 Jacobian Check: 2.153836003659105e+57 Mu: 1.5405e-07
Error: 0.00023292 Iteration: 2110 Jacobian Check: 2.742348123856915e+57 Mu: 1.3932e-07
Error: 0.00023254 Iteration: 2120 Jacobian Check: 3.471575041654224e+57 Mu: 1.26e-07
Error: 0.00023219 Iteration: 2130 Jacobian Check: 4.370294555104209e+57 Mu: 1.1395e-07
Error: 0.00023185 Iteration: 2140 Jacobian Check: 5.47224207081045e+57 Mu: 1.0306e-07
